1 Angelia Crumpler 1980 forward as
2 Morgan Schumacher 1981 back 87998901
3 Fausto Horta 1982 mid 87998902
4 Lino Mckelvey 1983 forward 87998903
5 Lesia Sargent 1984 back 87998904
6 Sharen Lima 1985 mid 87998905
7 Renita Vance 1986 forward 87998906
8 Chara Hemsley 1987 back 87998907
9 Chet Cluff 1988 mid 87998908
10 Luciana Sholtis 1989 forward 87998909
11 Mercedes Aurand 1990 back 87998910
12 Ileana Simmonds 1991 mid 87998911
13 Jewell Stephens 1992 forward 87998912
14 Gina Isaacson 1993 back 87998913
15 Hermelinda Higa 1994 mid 87998914
16 Fredda Vrba 1995 forward 87998915
17 Jaquelyn Fizer 1996 back 87998916
18 Fe Jonason 1997 mid 87998917
19 Fredda Vrba 1998 forward 87998918
20 Jaquelyn Fizer 1999 back 87998919
21 Fe Jonason 2000 mid 87998920
22 Fredda Vrba 2001 forward 87998921
23 Jaquelyn Fizer 2002 back 87998922
